Time Step,difference,close,far,ratio
246,19.55054942,63.08457156,43.53402214,0.690089844
,,,,
247,19.69813611,63.28941903,43.59128292,0.68876099
,,,,
248,19.51393388,63.42172688,43.907793,0.692314687
,,,,
249,19.68550217,63.61236118,43.92685901,0.690539672
,,,,
250,19.59619832,63.87028891,44.27409059,0.693187574
,,,,
251,19.61567009,63.96621264,44.35054255,0.693343262
,,,,
252,19.60353693,64.21225401,44.60871708,0.694707229
,,,,
253,19.65121857,64.3654154,44.71419683,0.694692896
,,,,
254,19.6043519,64.5660139,44.961662,0.696367319
,,,,
255,19.70276226,64.73022884,45.02746658,0.695617293
,,,,
256,19.66328591,64.9495209,45.28623498,0.697252795
,,,,
257,19.68631502,65.12274041,45.43642539,0.697704444
,,,,
258,19.63420155,65.26096988,45.62676833,0.699143277
,,,,
259,19.72002515,65.53250375,45.8124786,0.699080242
,,,,
260,19.71562287,65.66463538,45.94901251,0.699752801
,,,,
261,19.67031857,65.83685306,46.16653449,0.701226325
,,,,
262,19.61572396,65.98805681,46.37233285,0.70273827
,,,,
263,19.64142837,66.1902979,46.54886953,0.703258197
,,,,
264,19.54033741,66.32341047,46.78307306,0.705377976
,,,,
265,19.57418285,66.5315667,46.95738385,0.705791043
,,,,
266,19.60236798,66.7520008,47.14963282,0.706340368
,,,,
267,19.55240509,66.87998682,47.32758173,0.707649388
,,,,
268,19.68515931,67.18603831,47.500879,0.707005208
,,,,
269,19.54181515,67.26172413,47.71990898,0.709466039
,,,,
270,19.70553172,67.52444366,47.81891195,0.708171876
,,,,
271,19.50579432,67.61669432,48.1109,0.711523988
,,,,
272,19.76755013,67.95131858,48.18376846,0.709092472
,,,,
273,19.48529015,67.95522786,48.46993771,0.713262824
,,,,
274,19.83786619,68.32044738,48.48258119,0.709635007
,,,,
275,19.47370288,68.31717356,48.84347067,0.714951573
,,,,
276,19.7982347,68.68898985,48.89075515,0.711769896
,,,,
277,19.46713337,68.68725968,49.22012632,0.716583054
,,,,
278,19.74881916,69.03267658,49.28385742,0.713920709
,,,,
279,19.5294031,69.08970492,49.56030181,0.71733266
,,,,
280,19.76113148,69.37147783,49.61034635,0.715140399
,,,,
281,19.44433026,69.41623003,49.97189977,0.719887838
,,,,
282,19.68380566,69.67986102,49.99605536,0.717510836
,,,,
283,19.51199751,69.81868312,50.30668561,0.720533292
,,,,
284,19.74036009,70.07340872,50.33304862,0.718290284
,,,,
285,19.49695226,70.12732671,50.63037444,0.72197782
,,,,
286,19.80392283,70.46361803,50.6596952,0.718948255
,,,,
287,19.58327831,70.5341862,50.9509079,0.722357634
,,,,
288,19.82402221,70.80220235,50.97818014,0.720008396
,,,,
